"Para Tabaré , "" los jugadores se merecen terminar el torneo de esta forma",Tabaré,Pos,Neu,Pos,
"Tabaré dijo que "" primero tenemos que ganar el Clausura . Somos conscientes de que hasta ahora no hemos ganado nada . ¿ Si tengo predilección por las fechas ? Sí , claro . Me gustaría que la definición no se jugara ahora y que se pudiera jugar con más tiempo . Hay que mejorar cosas de cara a el futuro . No puede ser que ahora todos se enteren que hay un Mundial sub 20 y la Copa de las Confederaciones . Son cosas que solo pasan en el fútbol uruguayo """,Tabaré,Neg,,,
""" Su propuesta es interesante , porque a partir de esta flor , reflexiona también en torno a los organismos públicos , el museo muerto y la burocracia "" , explicó Tabares",Tabares,Pos,,,
"Tabaré dijo con claridad que no tiene voceros y que él habla por sí mismo """,Tabaré,Neg,Neu,,
Tabaré dijo durante toda la campaña que se iban a respetar los contratos,Tabaré,Pos,,,
Tabaré ya dijo que él ya debatió lo suficiente,Tabaré,Neu,,,
Tabaré festejó sus 77 años El Club Atlético Tabaré,Tabaré,Pos,,,
"Tabaré dijo que no. Los anteriores documentales de Sebastián Bednarik , La Matinée y Cachila , fueron declarados "" de interés nacional "" . Esto no ocurrió con Mundialito , y tanto el director como el productor Andrés Varela no ocultan su disgusto por ello . Según ellos , la respuesta que les dio la Presidencia , durante la administración de Tabaré Vázquez , fue que "" se pretendía trabajar la memoria desde otro lugar """,Tabaré,Neg,,,
"dijo Tabaré : "" Volvemos con la frente alta y la conciencia tranquila """,Tabaré,Pos,,,
""" Festejen , uruguayos , festejen "" , dice Tabar",Tabar,Pos,,,
Tabaré destacó la comprensión,Tabaré,Pos,,,
""" Creo que toda la tecnología hay que usar la a favor de estar comunicados , con la computadora como planteó Tabaré o por medio de el SMS "" , sostuvo",Tabaré,Pos,,,
"Tabaré aseguró que su país estudiará la posibilidad de importar gas de ese país , informó entonces la agencia de noticias emiratí WAF",Tabaré,Neu,,,
""" Yo a Rubén cuando lo vi por primera vez ya lo conocía , porque las canciones son una carta de presentación "" , expresó Tabaré",Tabaré,Pos,Neu,,
""" Me alegró muchísimo ( ... ) ; Tabaré lo dijo aquí en Caracas , él que es tan tranquilito ( ... ) dio un golpe a la mesa y dijo que Uruguay no firmará un TLC con EE.UU. y eso es lo correcto Tabaré "" , dijo Chávez",Tabaré,Pos,,,
""" Es el local de unos amigos a el que siempre voy , y estoy un rato acompañando los y dando les una mano , atendiendo la caja o acomodando cosas "" , explicó Tabaré",Tabaré,Neu,,,
""" No puede ser que con el plantel que tenemos , no logremos hilvanar dos victorias seguidas . No supimos vulnerar los y debemos tener autocrítica . No fuimos contundentes en este torneo y seguimos cometiendo errores defensivos importantes como en el gol de ellos que viene de una pelota quieta . Hay muchos errores para corregir "" , explicó Tabaré",Tabaré,Neg,,,
Tabaré no quiso ahondar sobre las fechas de las posibles finales porque su equipo aún no está clasificado,Tabaré,Neu,,,
""" Siempre me gustó desafiar a el peligro "" , recuerda Tabaré",Tabaré,Pos,,,
""" Tenemos claro que esto es circunstancial . Si bien es muy grato , no influye a la hora de elaborar una idea artística , un espectáculo o grabar un disco "" , dice Tabaré",Tabaré,Pos,Neu,Pos,
""" Si Tabaré dice no a el show mediático y señala que hay que hablar en la orgánica , creo que perfectamente pueden haber acordado hacer un Consejo de Ministros para que este tema se tratara "" , insistió Lorier",Tabaré,Neg,Neu,,
"Dijo Tabaré : "" Si el Frente Amplio no gana las próximas elecciones , el gobierno no va a ser ni blanco ni colorado : va a ser gris . Tristemente gris """,Tabaré,Neg,,,
"Tabares destaca que el hecho de que la Bienal se concrete ahora ( aunque se viene gestando desde hace un año y medio ) no es casual . "" Es necesario . El país está en un buen momento . La estabilidad económica , la prosperidad en el país , el Uruguay viene cambiando en pila de aspectos . Hay mucha gente con los ojos puestos acá y es un poco ese el motivo . Generalmente en las ciudades prósperas es que aparecen estos eventos , pasó con Estambul y otras . En la medida que la ciudad va creciendo la parte cultural va teniendo un rol importante """,Tabares,Pos,,,
Tabaré recalcó luego a LA REPÚBLICA la necesidad de respetar los tiempos,Tabaré,Neu,,,
Tabaré ya habló demasiado,Tabaré,Neg,,,
Tabaré dijo que cada niño tendría una computadora,Tabaré,Neu,Pos,,
"Tabaré Vázquez señaló ante el Pit-Cnt que "" la coyuntura internacional "" podría "" no ser tan favorable "" en 2015",Tabaré Vázquez,Neg,Neu,,
"Tabaré Aguerre indicó que "" significa innovación , valor agregado e inserción internacional """,Tabaré Aguerre,Pos,,,
"Tabaré Vázquez considera que se debe debatir en la región "" La drogadicción , el tráfico de drogas , el lavado de activos , capitales que se mueven y nutren el negocio de la droga , sobre esos hay que actuar """,Tabaré Vázquez,Neu,Neg,,
"Tabaré Aguerre remarcó que , como ocurrió tras la granizada de el 24 de enero de 2013 , esta asistencia ante daños por exceso hídrico se brindará por única vez",Tabaré Aguerre,Neg,Neu,,
""" Fue un partido parejo en el primer tiempo . La expulsión de Mario Risso nos dio más espacios y en los momentos justos llegaron los dos goles "" , comentó Tabaré Viudez",Tabaré Viudez,Pos,,,
Tabaré Vázquez se pronunció a favor de la iniciativa,Tabaré Vázquez,Pos,,,
Tabaré Vázquez reiteró que respetará los contratos y concesiones que hayan cumplido la legalidad para aprobar se,Tabaré Vázquez,Pos,,,
Tabaré Vázquez dice que respalda la candidatura de Jorge Brovetto,Tabaré Vázquez,Pos,,,
"Tabaré Vázquez dijo anoche en Treinta y Tres que si accede a el gobierno eliminará "" los gastos superfluos como los aparatos celulares "" en los cargos jerárquicos públicos . "" Parecen que andan miles de celulares en los bolsillos de los directores de entes públicos y de los secretarios y de los que ocupan cargos de confianza , ( solo ) para gastar plata """,Tabaré Vázquez,Neg,,,
"Tabaré Vázquez no quiso responder las críticas que formuló el líder herrerista Luis Alberto Lacalle , ante la condición de el presidente electo de forjar acuerdos programáticos para que los blancos se integren a los directorios de los bancos oficiales y los órganos rectores de la enseñanza",Tabaré Vázquez,Neg,Neu,,
"Tabaré Vázquez manifestó que la intención es nombrar los nuevos directorios apenas asuma el gobierno , durante los primeros días de marzo",Tabaré Vázquez,Neu,,,
Tabaré Vázquez sostuvo en Brasil que el canje de deuda hecho por el gobierno de el presidente Jorge Batlle había aliviado la situación de Uruguay en la crisis económica,Tabaré Vázquez,Pos,,,
""" Tendrán que rendir cuentas a el pueblo "" , dijo Tabaré Vázquez",Tabaré Vázquez,Neg,Neu,,
"Tabaré Vázquez estimó que si accede a el gobierno tendrá "" el dinero suficiente "" , para instrumentar los cambios que aspira a realizar",Tabaré Vázquez,Pos,,,
