"Según Batlle , esas palabras "" son palabras muy ilustrativas en cuanto a el sentimiento que ha sido hasta ahora el que ha prevalecido en el Uruguay , un sentimiento de tolerancia , un sentimiento de comprensión de la situación de el otro """,FALSE,Pos
Batlle también defendió la recompra,TRUE,Pos
"anuncio de Batlle sobre juicio a ex socios de el Comercial Batlle dijo que cuando recuerda la conversación con Mulford , de el Credit Suisse , siente "" ganas de matar """,TRUE,Neg
""" Siento una enorme alegría y regocijo "" , dijo Batlle",TRUE,Pos
""" Conversaciones entre presidentes son en serio "" , dijo Batlle",FALSE,Neu
"Batlle indicó que "" fueron , además , muy importantes los temas planteados por Ecuador y por Nicaragua , relativos a la necesidad de que el Grupo de Río ayude a intervenir , como lo ha hecho antes en otras oportunidades , en reconocer , fortificar y ayudar a que la gobernabilidad en esos países habilite un funcionamiento democrático natural y que no se den movimientos políticos que atenten , aún dentro de sus potestades de ejercer la política con libertad , atenten contra la estabilidad de los gobiernos y con la falta de gobernabilidad que se pretende ejercer sobre los mismos """,FALSE,Pos
Batlle dijo que se le dará un plazo a OSE para que dé la información completa de la situación de los operadores privados,FALSE,Neu
"Batlle respondió : "" Me voy a juntar con mis nietos """,TRUE,Pos
"Según Batlle , esas palabras "" son palabras muy ilustrativas en cuanto a el sentimiento que ha sido hasta ahora el que ha prevalecido en el Uruguay , un sentimiento de tolerancia , un sentimiento de comprensión de la situación de el otro """,TRUE,Pos
"Batlle sostiene que Vázquez todavía "" no se anima a decir públicamente "" que va a ser candidato porque "" quiere saber si la situación económica que está viviendo el país hoy va a explotar antes de que él llegue a el gobierno """,TRUE,Neg
""" Esa es una forma de eludir la discusión , que es lo que están haciendo en Argentina desde hace tiempo "" , aseveró Batlle",TRUE,Neg
"Batlle destacó que Uruguay es uno de los mayores contribuyentes de tropas a la ONU , y que su país actualmente mantiene tropas en la República Democrática de el Congo , Haití , Eritrea y otros países",TRUE,Pos
